crossover,mutation,random,copy,parent_selection,should_prune,last_gen
0.1,0.75,0.1,0.05,0.2,True,70
0.1,0.75,0.1,0.05,0.2,True,400
0.1,0.75,0.1,0.05,0.2,True,241
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,380
0.1,0.75,0.1,0.05,0.2,True,334
0.1,0.75,0.1,0.05,0.2,True,3
0.1,0.75,0.1,0.05,0.2,True,7
0.1,0.75,0.1,0.05,0.2,True,282
0.1,0.75,0.1,0.05,0.2,True,305
0.1,0.75,0.1,0.05,0.2,True,148
0.1,0.75,0.1,0.05,0.2,True,345
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,497
0.45,0.45,0.05,0.05,0.2,True,4
0.45,0.45,0.05,0.05,0.2,True,137
0.45,0.45,0.05,0.05,0.2,True,280
0.45,0.45,0.05,0.05,0.2,True,3
0.45,0.45,0.05,0.05,0.2,True,101
0.45,0.45,0.05,0.05,0.2,True,114
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,22
0.45,0.45,0.05,0.05,0.2,True,2
0.45,0.45,0.05,0.05,0.2,True,4
0.45,0.45,0.05,0.05,0.2,True,99
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,2
0.45,0.45,0.05,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.3,True,500
0.75,0.1,0.1,0.05,0.3,True,2
0.75,0.1,0.1,0.05,0.3,True,500
0.75,0.1,0.1,0.05,0.3,True,500
0.75,0.1,0.1,0.05,0.3,True,5
0.75,0.1,0.1,0.05,0.3,True,500
0.75,0.1,0.1,0.05,0.3,True,26
0.75,0.1,0.1,0.05,0.3,True,149
0.75,0.1,0.1,0.05,0.3,True,446
0.75,0.1,0.1,0.05,0.3,True,152
0.75,0.1,0.1,0.05,0.3,True,453
0.75,0.1,0.1,0.05,0.3,True,124
0.75,0.1,0.1,0.05,0.3,True,177
0.75,0.1,0.1,0.05,0.3,True,243
0.75,0.1,0.1,0.05,0.3,True,365
0.75,0.1,0.1,0.05,0.3,True,377
0.75,0.1,0.1,0.05,0.3,True,165
0.75,0.1,0.1,0.05,0.3,True,3
0.75,0.1,0.1,0.05,0.3,True,7
0.75,0.1,0.1,0.05,0.3,True,126
0.1,0.75,0.1,0.05,0.3,True,106
0.1,0.75,0.1,0.05,0.3,True,207
0.1,0.75,0.1,0.05,0.3,True,6
0.1,0.75,0.1,0.05,0.3,True,500
0.1,0.75,0.1,0.05,0.3,True,328
0.1,0.75,0.1,0.05,0.3,True,500
0.1,0.75,0.1,0.05,0.3,True,26
0.1,0.75,0.1,0.05,0.3,True,290
0.1,0.75,0.1,0.05,0.3,True,71
0.1,0.75,0.1,0.05,0.3,True,85
0.1,0.75,0.1,0.05,0.3,True,94
0.1,0.75,0.1,0.05,0.3,True,479
0.1,0.75,0.1,0.05,0.3,True,144
0.1,0.75,0.1,0.05,0.3,True,500
0.1,0.75,0.1,0.05,0.3,True,345
0.1,0.75,0.1,0.05,0.3,True,53
0.1,0.75,0.1,0.05,0.3,True,5
0.1,0.75,0.1,0.05,0.3,True,24
0.1,0.75,0.1,0.05,0.3,True,50
0.1,0.75,0.1,0.05,0.3,True,206
0.45,0.45,0.05,0.05,0.3,True,395
0.45,0.45,0.05,0.05,0.3,True,500
0.45,0.45,0.05,0.05,0.3,True,500
0.45,0.45,0.05,0.05,0.3,True,15
0.45,0.45,0.05,0.05,0.3,True,86
0.45,0.45,0.05,0.05,0.3,True,121
0.45,0.45,0.05,0.05,0.3,True,4
0.45,0.45,0.05,0.05,0.3,True,3
0.45,0.45,0.05,0.05,0.3,True,467
0.45,0.45,0.05,0.05,0.3,True,500
0.45,0.45,0.05,0.05,0.3,True,500
0.45,0.45,0.05,0.05,0.3,True,296
0.45,0.45,0.05,0.05,0.3,True,248
